,No.,Date,Media,News_title,Sentiment(MaxEntropy),positive_word(VADER),negative_word(VADER),Year,Month,Day,Vader_Score,Sentiment(VADER),Sentiment(SparkNLP),Score(SparkNLP)
21,22,17/9/2022 0:00,i3investor,Sabah and Sarawak: The journey to a more inclusive Malaysia (Part 2) By Amanda Yeo,2,[],[],2022,September,17,0,2,1,0.999999988
22,23,16/9/2022 0:00,Focus Malaysia,Sabah and Sarawak: The journey to a more inclusive Malaysia (Part 2),2,[],[],2022,September,16,0,2,1,0.999999985
23,24,12/9/2022 0:00,Kosmo,There are more men in Melaka,2,[],[],2022,September,12,0,2,1,1
24,25,12/9/2022 0:00,Utusan,The people of Melaka are more male,2,[],[],2022,September,12,0,2,1,0.991115199
25,26,8/9/2022 0:00,The Star,PARTNER IN MSMEs' DIGITAL JOURNEY,2,[],[],2022,September,8,0,2,1,1
26,27,29/8/2022 0:00, The Star,PARTNER IN MSMEs' DIGITAL JOURNEY,2,[],[],2022,August,29,0,2,1,1
27,28,18/8/2022 0:00,Theedgemalaysia,Malaysia's labour productivity up 5.5% in Q2 2022 - DOSM | The Edge Markets,2,[],[],2022,August,18,0,2,1,0.999665098
28,29,18/8/2022 0:00,Bernama,Malaysia's labour productivity 5.5 pct up in Q2 2022 - DoSM,2,[],[],2022,August,18,0,2,1,0.999994531
29,30,18/8/2022 0:00,Sarawak Voice,"Sarawak plans to increase the area of ​​state assembly, parliament",2,[],[],2022,August,18,0.318,1,1,1
30,31,14/8/2022 0:00,Theborneopost,More rate hikes ahead after GDP's surprise upside in 2Q,2,"['surprise', 0.2732]",[],2022,August,14,0.273,1,1,0.999999982
31,32,13/8/2022 0:00,New Sarawak Tribune,Core inflation is projected at upper range,2,[],[],2022,August,13,0,2,0,-0.999694341
32,33,13/8/2022 0:00, Bernama,More rate hikes ahead after GDP's surprise upside in Q2,2,"['surprise', 0.2732]",[],2022,August,13,0.273,1,1,0.999999998
33,34,12/8/2022 0:00,The Star,Ringgit ends higher against US dollar for fourth consecutive day,2,[],[],2022,August,12,0,2,1,1
34,35,12/8/2022 0:00,Selangor Journal,Ringgit ends higher against US dollar for fourth consecutive day,2,[],[],2022,August,12,0,2,1,1
35,36,12/8/2022 0:00,The Star,Core inflation forecast at upper range of 2% to 3% in 2022,2,[],[],2022,August,12,0,2,0,-0.75402742
36,37,12/8/2022 0:00, Bernama,BNM: Core inflation forecast at upper range of 2-3 pct in 2022,2,[],[],2022,August,12,0,2,1,0.999999469
37,38,12/8/2022 0:00, i3investor,Core inflation forecast at upper range of 2% to 3% in 2022,2,[],[],2022,August,12,0,2,0,-0.75402742
38,39,5/8/2022 0:00,Theborneopost,Malaysia has fiscal space to manage price pressures,2,[],"['pressures', -0.3182]",2022,August,5,-0.318,0,1,0.999999994
39,40,5/8/2022 0:00, Theedgemalaysia,Tengku Zafrul: Malaysia's inflation may reach 'around 11%' in subsidies' absence | The Edge Markets,2,"['reach', 0.0258]",[],2022,August,5,0.026,1,1,0.99999974
40,41,27/7/2022 0:00, Bernama,SME's GDP 1.0 pct up in 2021 but slower than Malaysia's 3.1 pct -- DoSM,2,[],[],2022,July,27,0,2,1,0.999999995
41,42,26/7/2022 0:00, Business Today,Compensation Of Employees Contributed 34.8% Of The Nominal GDP,2,[],[],2022,July,26,0,2,1,1
42,43,26/7/2022 0:00,Bernama,"Compensation of employees contributes 34.8 pct to the nominal GDP, says DoSM",2,[],[],2022,July,26,0,2,1,0.999999726
43,44,26/7/2022 0:00, i3investor,GFCF Declined Marginally to RM278.7b in 2021 - DOSM,2,[],[],2022,July,26,0,2,0,-1
44,45,25/7/2022 0:00,Theedgemalaysia,GFCF declined marginally to RM278.7b in 2021 - DOSM | The Edge Markets,2,[],[],2022,July,25,0,2,1,0.987708321
45,46,25/7/2022 0:00,Business Today,Gross Fixed Capital Formation In 2021 Declines Marginally TO RM278.7 Billion In 2021-DOSM,2,[],"['Gross', -0.4767]",2022,July,25,-0.477,0,0,-0.999999992
46,47,25/7/2022 0:00,The Malay Mail Online,Stats Dept: Malaysia's Gross Fixed Capital Formation declines marginally to RM278.7b in 2021,2,[],"['Gross', -0.4767]",2022,July,25,-0.477,0,0,-0.99982283
47,48,25/7/2022 0:00,The Star,GFCF declines marginally to RM278. 7bil in 2021,2,[],[],2022,July,25,0,2,0,-0.999984042
48,49,25/7/2022 0:00, Bernama,GFCF declines marginally to RM278.7 bln in 2021 -- DoSM,2,[],[],2022,July,25,0,2,0,-1
49,50,25/7/2022 0:00, The Malaysian Reserve,GFCF recorded RM278.7b in 2021,2,[],[],2022,July,25,0,2,1,0.999999832
50,51,21/7/2022 0:00,Thesundaily,Private household size in Kelantan the highest in Malaysia: DOSM,2,[],[],2022,July,21,0,2,1,0.999967991
51,52,21/7/2022 0:00,Bernama,Private household size in Kelantan the highest in Malaysia - DOSM,2,[],[],2022,July,21,0,2,1,0.999967991
52,53,21/7/2022 0:00,Thesundaily,"Kelantan's average household size is 4.9 people, the highest in Malaysia: DOSM",2,[],[],2022,July,21,0,2,0,-0.994782222
53,54,21/7/2022 0:00,Bernama,"Kelantan's average household size is 4.9 people, the highest in Malaysia - DoSM",2,[],[],2022,July,21,0,2,0,-0.994782222
54,55,21/7/2022 0:00,Sinarharian,"The average household size in Kelantan is 4.9 people, the highest in Malaysia",2,[],[],2022,July,21,0,2,1,0.999419366
55,56,21/7/2022 0:00, i3investor,"Kelantan has largest private household size in Malaysia, says Statistics Dept",2,[],[],2022,July,21,0,2,1,0.99999568
56,57,20/7/2022 0:00,Selangor Journal,"Malaysia should continue to revitalise economy, increase competitiveness",2,"['increase', 0.3182]",[],2022,July,20,0.318,1,1,0.999999999
57,58,20/7/2022 0:00, Bernama,"Malaysia should continue to revitalise economy, increase competitiveness -- IMD",2,"['increase', 0.3182]",[],2022,July,20,0.318,1,1,0.999999997
58,59,8/7/2022 0:00,The Malay Mail Online,MIDF Research: Malaysia's retail trade sales set to expand by +10.5pc,2,"['expand', 0.3182]",[],2022,July,8,0.318,1,1,1
59,60,8/7/2022 0:00, New Sarawak Tribune,Pushing batik production creates jobs,2,"['creates', 0.2732]",[],2022,July,8,0.273,1,1,0.999975165
60,61,3/7/2022 0:00,Theedgemalaysia,"Malaysia Digital shows country's readiness to be at forefront of digital economy, says Annuar",2,"['readiness', 0.25]",[],2022,July,3,0.25,1,1,1
61,62,2/7/2022 0:00,Sinarharian,The halal industry has a place in society,2,[],[],2022,July,2,0,2,0,-0.99999624
62,63,30/6/2022 0:00, Kosmo,The national economy is expected to increase this year,2,[],[],2022,June,30,0.318,1,1,1
63,64,15/6/2022 0:00,Twentytwo13,Malaysia's sports industry contributed RM18.8b in 2017 - that's just the tip of the iceberg,2,[],[],2022,June,15,0,2,1,0.999999982
64,65,15/6/2022 0:00,The Malaysian Reserve,Malaysia experiences boom in non-exec labour market post-pandemic,2,[],[],2022,June,15,0,2,1,0.999999957
65,66,14/6/2022 0:00, Bernama,Govt to foster agriculture sector to expedite structural transformation,2,[],[],2022,June,14,0,2,1,0.999999999
66,67,12/6/2022 0:00, Theborneopost,'Holistic approach needed for structural reforms',2,[],[],2022,June,12,0,2,1,0.887345728
67,68,12/6/2022 0:00,Thesundaily,"Holistic approach needed for structural reforms, GST reinstatement: Economists",2,[],[],2022,June,12,0,2,0,-0.43258482
68,69,12/6/2022 0:00,Selangor Journal,"Holistic approach needed for structural reforms, GST reinstatement - Economists",2,[],[],2022,June,12,0,2,0,-0.43258482
69,70,12/6/2022 0:00,The Malay Mail Online,"Holistic approach needed for reinstatement of GST, structural reforms, Putrajaya told",2,[],[],2022,June,12,0,2,0,-0.999998619
70,71,12/6/2022 0:00, Bernama,"Holistic approach needed for structural reforms, GST reinstatement - Economists",2,[],[],2022,June,12,0,2,0,-0.43258482
71,72,12/6/2022 0:00, Bharian,"GST level of long-term economic resilience, ringgit",2,[],[],2022,June,12,0,2,1,1
72,73,12/6/2022 0:00, Theedgemalaysia,"Holistic approach needed for structural reforms, GST reinstatement - Economists",2,[],[],2022,June,12,0,2,0,-0.43258482
73,74,27/5/2022 0:00, i3investor,"Holistic approach needed for structural reforms, GST reinstatement: Economists",2,[],[],2022,May,27,0,2,0,-0.43258482
74,75,27/5/2022 0:00, Theedgemalaysia,Malaysia's economy expected to expand further after favourable performance in 1Q22 - DOSM,2,"['expand', 0.3182]",[],2022,May,27,0.318,1,1,0.999999998
75,76,27/5/2022 0:00,Thesundaily,Malaysia's economy expected to expand further after favourable performance in Q1 2022: DOSM,2,"['expand', 0.3182]",[],2022,May,27,0.318,1,1,0.999999292
76,77,27/5/2022 0:00,Bernama,Malaysia's economy expected to expand further after favourable performance in Q1 2022 -- DoSM,2,"['expand', 0.3182]",[],2022,May,27,0.318,1,1,0.999999292
77,78,27/5/2022 0:00, The Star,Malaysia's economy is expected to expand further after favourable performance in Q1 2022,2,"['expand', 0.3182]",[],2022,May,27,0.318,1,1,1
78,79,27/5/2022 0:00,Selangor Journal,Malaysia's economy expected to expand further after favourable performance in first quarter 2022,2,"['expand', 0.3182]",[],2022,May,27,0.318,1,1,0.999998761
79,80,27/5/2022 0:00,i3investor,DOSM: Malaysia's economy expected to expand further after favourable performance in Q1 2022,2,"['expand', 0.3182]",[],2022,May,27,0.318,1,1,0.999999994
80,81,27/5/2022 0:00, i3investor,Stats Dept: Malaysia's economy expected to expand further after favourable performance in Q1 2022,2,"['expand', 0.3182]",[],2022,May,27,0.318,1,1,0.999999999
81,82,24/5/2022 0:00, New Sarawak Tribune,"SMA, LSD to create big data for state's land",2,"['create', 0.2732]",[],2022,May,24,0.273,1,1,1
82,83,24/5/2022 0:00, Sarawak Voice,Let's move Sarawak's digital economy together,2,[],[],2022,May,24,0,2,1,1
83,84,24/5/2022 0:00, Theborneopost,"Premier: SMA, Land and Survey building big data for land in Sarawak",2,[],[],2022,May,24,0,2,1,1
84,85,24/5/2022 0:00, Theedgemalaysia,Sarawak Premier calls on Sarawakians to mobilise digital economy,2,[],[],2022,May,24,0,2,1,1
85,86,23/5/2022 0:00, Bernama,Sarawak Premier calls on Sarawakians to mobilise digital economy,2,[],[],2022,May,23,0,2,1,1
86,87,23/5/2022 0:00, Bernama,The people must move the digital economy together - Premier Sarawak,2,[],[],2022,May,23,0,2,1,0.999999485
87,88,23/4/2022 0:00,Siakapkeli,Reasons Seven Days Paternity Leave Is Not Enough,2,[],[],2022,April,23,-0.052,0,0,-0.999970955
88,89,23/4/2022 0:00, Thesundaily,Reasons why seven days paternity leave is not enough,2,[],[],2022,April,23,-0.052,0,0,-0.999896077
89,90,23/4/2022 0:00,Selangorku,Reasons why seven days paternity leave is not enough,2,[],[],2022,April,23,-0.052,0,0,-0.999896077
90,91,13/4/2022 0:00, Bernama,DOSM launches OpenDOSM as alternative to open data access,2,[],[],2022,April,13,0,2,1,0.999999996
91,92,13/4/2022 0:00,Theedgemalaysia,RHB Research sees Tasco on track for record-breaking year,2,[],[],2022,April,13,0,2,1,0.999999976
92,93,10/4/2022 0:00,Business Today,Malaysia Targets RM77 Billion Revenue From International Tourists By 2025,2,[],[],2022,April,10,0,2,1,0.982627956
93,94,8/4/2022 0:00,Dailyexpress,MDEC eyes over RM1t e-commerce income again,2,[],[],2022,April,8,0,2,0,-0.999996456
94,95,7/4/2022 0:00,Theedgemalaysia,"Malaysia's e-commerce income can breach RM1 tril again this year, says MDEC",2,[],[],2022,April,7,0,2,0,-0.999983582
95,96,7/4/2022 0:00, Bernama,Malaysia's e-commerce income can breach RM1 trillion again this year - MDEC,2,[],[],2022,April,7,0,2,1,0.982067242
96,97,7/4/2022 0:00,Astro Awani,Malaysia's e-commerce income can breach RM1 trillion again this year - MDEC,2,[],[],2022,April,7,0,2,1,0.982067242
97,98,7/4/2022 0:00, The Malay Mail Online,MDEC: Malaysia's e-commerce income can breach RM1t again this year,2,[],[],2022,April,7,0,2,1,0.999999999
98,99,25/3/2022 0:00,Theedgemalaysia,Is Malaysia entering a high inflation cycle,2,[],[],2022,March,25,0,2,1,1
99,100,16/3/2022 0:00,Sarawak Voice,Covid-19 affects household income in Sarawak,2,[],[],2022,March,16,0,2,0,-0.992582801
100,101,15/3/2022 0:00,Money Compass,Socso forsees job markets returning to pre-COVID levels soon,2,[],[],2022,March,15,0,2,1,0.999999991
101,102,15/3/2022 0:00,Selangor Journal,Socso expects job market to return to pre-pandemic level,2,[],[],2022,March,15,0,2,0,-0.997392305
102,103,15/3/2022 0:00, Theborneopost,Socso expects job market to return to pre-pandemic level soon,2,[],[],2022,March,15,0,2,1,0.999643707
103,104,15/3/2022 0:00,The Star,The need for fiscal reforms supersedes oil price windfall - Economists,2,[],[],2022,March,15,0,2,0,-0.999994577
104,105,15/3/2022 0:00, Bernama,Socso expects job market to return to pre-pandemic level,2,[],[],2022,March,15,0,2,0,-0.997392305
105,106,6/3/2022 0:00,Dailyexpress,Political and economic stability must,2,[],[],2022,March,6,0,2,1,0.999970456
106,107,24/2/2022 0:00, i3investor,Creating an environment to drive Malaysia's business forward By Amien Jamaluddin,2,"['Creating', 0.296]",[],2022,February,24,0.296,1,1,1
107,108,23/2/2022 0:00, Focus Malaysia,What Johoreans need are economic and political stability,2,[],[],2022,February,23,0,2,0,-0.87176258
108,109,20/2/2022 0:00,Business Today,Government Launches SemarakNiaga An RM40 Billion Business Financing Program,2,[],[],2022,February,20,0,2,1,0.999999062
109,110,14/2/2022 0:00,Business Today,"Govt Allocating RM4.8 Billion To Create 600,000 Jobs",2,"['Create', 0.2732]",[],2022,February,14,0.273,1,0,-0.999984748
110,111,12/2/2022 0:00,Astro Awani,Government maintains GDP projection of 5.5 percent to 6.5 percent for 2022 - Tengku Zafrul,2,[],[],2022,February,12,0,2,1,0.99965179
111,112,12/2/2022 0:00, Bernama,Government maintains GDP projection of 5.5 percent to 6.5 percent for 2022 - Tengku Zafrul,2,[],[],2022,February,12,0,2,1,0.99965179
112,113,12/2/2022 0:00,Utusan,'2021 economy smaller than PH's last year',2,[],[],2022,February,12,0,2,1,0.999808299
113,114,12/2/2022 0:00, Utusan,"GDP in 2021 recorded 3.1%, the government's measures yielded results",2,[],[],2022,February,12,0,2,1,0.999999997
114,115,7/2/2022 0:00, Focus Malaysia,"""The Malaysian Employers Federation is full of baloney!""",2,[],[],2022,February,7,0,2,0,-0.63773049
115,116,4/2/2022 0:00, Bernama,Govt taking bold decisions to put economy back in growth trajectory -- Juwai IQI,2,"['bold', 0.3818, 'growth', 0.3818]",[],2022,February,4,0.637,1,1,0.999995001
116,117,24/1/2022 0:00, Business Today,Fast Track Your Career In Accountancy With AAT,2,[],[],2022,January,24,0,2,1,1
117,118,17/1/2022 0:00, i3investor,Minister: Census shows Malaysia's oldest man and woman aged 120 and 118; preliminary census findings to be released in Feb 2022,2,[],[],2022,January,17,0,2,1,1
118,119,17/1/2022 0:00,News Yahoo Malaysia,Minister: Census shows Malaysia's oldest man and woman aged 120 and 118; preliminary census findings to be released in Feb 2022,2,[],[],2022,January,17,0,2,1,1
119,120,17/1/2022 0:00, The Malay Mail Online,Minister: Census shows Malaysia's oldest man and woman aged 120 and 118; preliminary census findings to be released in Feb 2022,2,[],[],2022,January,17,0,2,1,1
120,121,13/1/2022 0:00, Selangor Journal,"E-commerce, food delivery services GMV expand by US$7 bln in 2021",2,"['expand', 0.3182]",[],2022,January,13,0.318,1,1,1
121,122,13/1/2022 0:00,Thesundaily,"E-commerce, food delivery services GMV expand by US$7b in 2021 - Mustapa",2,"['expand', 0.3182]",[],2022,January,13,0.318,1,1,1
122,123,13/1/2022 0:00, Bernama,"E-commerce, food delivery services GMV expand by US$7 bln in 2021 - Mustapa",2,"['expand', 0.3182]",[],2022,January,13,0.318,1,1,1
123,124,12/1/2022 0:00, Thesundaily,Retail trade to expand 5.5% this year: MIDF Research,2,"['expand', 0.3182]",[],2022,January,12,0.318,1,1,1
124,125,11/1/2022 0:00, Theedgemalaysia,"Retail trade to expand 5.5% in 2022, says MIDF Research",2,"['expand', 0.3182]",[],2022,January,11,0.318,1,1,0.999999992
125,126,11/1/2022 0:00, Bernama,Retail trade to expand 5.5 pct in 2022 - MIDF Research,2,"['expand', 0.3182]",[],2022,January,11,0.318,1,1,1
126,127,11/1/2022 0:00, Nam News Network,Malaysia's GDP Expected To Expand By Up To 6.0 Pct In 2022,2,"['Expand', 0.3182]",[],2022,January,11,0.318,1,1,1
127,128,11/1/2022 0:00, Bernama,Kenanga expects Malaysia's GDP to expand by up to 6.0 pct in 2022,2,"['expand', 0.3182]",[],2022,January,11,0.318,1,1,0.999999999
128,129,7/1/2022 0:00,The Malaysian Reserve,Most industries not ready for minimum wage hike,2,"['ready', 0.3612]",[],2022,January,7,-0.334,0,0,-0.999999999
129,1,5/11/2022 0:00,Dagangnews.Com,Political stability helps strengthen short & long term flood governance,0,[],[],2022,November,5,0.599,1,1,1
130,2,11/10/2022 0:00,Twentytwo13,"Weaker ringgit can boost tourism, says Malaysian Employers Federation",0,"['boost', 0.4019]","['Weaker', -0.4404]",2022,October,11,-0.052,0,1,0.999978056
131,3,11/10/2022 0:00,Bharian,The number of unemployed in Malaysia is decreasing,0,[],[],2022,October,11,0.077,1,0,-0.999984972
132,4,9/9/2022 0:00,Utusan,OPR review curbs inflationary pressures,0,[],[],2022,September,9,-0.318,0,1,0.999999732
133,5,25/8/2022 0:00,Bharian,MTUC urges the full implementation of the 1955 Work Act starting September 1,0,[],[],2022,August,25,0,2,1,1
134,6,9/8/2022 0:00, Theedgemalaysia,"Malaysia's unemployment rate down to 3.8% in June, lowest since Covid-19 pandemic struck | The Edge Markets",0,[],"['unemployment', -0.4404, 'lowest', -0.3818, 'struck', -0.25]",2022,August,9,-0.758,0,0,-0.996336425
135,7,29/7/2022 0:00,Focus Malaysia,CPI alone may not be the best inflation gauge for Malaysia,0,"['best', 0.6369]","['alone', -0.25]",2022,July,29,-0.656,0,1,0.999999955
136,8,25/7/2022 0:00,Sinarharian,Malaysia's gross fixed capital formation recorded RM278.7 billion,0,[],[],2022,July,25,-0.477,0,1,0.933320702
137,9,25/7/2022 0:00,Bernama,Malaysia's Gross Fixed Capital Formation to hit RM278.7 billion in 2021 - Statistics,0,[],[],2022,July,25,-0.477,0,0,-0.999988353
138,10,1/7/2022 0:00,Business Today,"Stories That Caught Our Attention; Global Credit Outlook More Negative This Year, US Economy Dwindled Worse-Than Expected 1.6% Last Quarter As Recession Fears Heighten And Malaysian Producer Price Index Record High In May",0,"['Credit', 0.3818]","['Negative', -0.5719, 'Recession', -0.4215, 'Fears', -0.4215]",2022,July,1,-0.79,0,1,0.999999997
139,11,1/7/2022 0:00,Malaysia Dateline Amanah,"After the subsidy was abolished, the M40 group and SMEs did not get any help",0,[],[],2022,July,1,-0.309,0,0,-0.70805367
140,12,28/6/2022 0:00,Focus Malaysia,Food Insecurity: Where we went wrong (Part 1),0,[],"['Insecurity', -0.4215, 'wrong', -0.4767]",2022,June,28,-0.71,0,0,-0.99999622
141,13,19/5/2022 0:00,Theedgemalaysia,The urgent case for climate crisis mitigation in the National Recovery Plan,0,"['urgent', 0.2023]","['crisis', -0.6249]",2022,May,19,-0.511,0,0,-0.94141907
142,14,4/5/2022 0:00,Astro Awani,Shift in consumer purchasing behaviour as inflation hits,0,[],[],2022,May,4,0,2,0,-0.83353389
143,15,4/5/2022 0:00,Malaysia Gazette,Consumer purchasing behavior is declining following inflation,0,[],[],2022,May,4,0,2,1,0.982146432
144,16,4/5/2022 0:00,Sinarharian,Consumer purchasing behavior is declining following inflation,0,[],[],2022,May,4,0,2,1,0.982146432
145,17,4/5/2022 0:00,Bernama,Shift in consumer purchasing behaviour as inflation hits,0,[],[],2022,May,4,0,2,0,-0.83353389
146,18,4/5/2022 0:00,Bernama,Consumer purchasing behavior is declining following inflation,0,[],[],2022,May,4,0,2,1,0.982146432
147,19,4/5/2022 0:00,Thesundaily,Shift in consumer purchasing behaviour as inflation hits,0,[],[],2022,May,4,0,2,0,-0.83353389
148,20,4/5/2022 0:00,Malaysia Kini Bm,Consumer purchasing behavior is declining following inflation,0,[],[],2022,May,4,0,2,1,0.982146432
149,21,27/4/2022 0:00,Focus Malaysia,"From ringgit crash to bond rout . What's next, Mr Finance Minister",0,[],"['crash', -0.4019]",2022,April,27,-0.402,0,1,0.981691006
150,22,4/4/2022 0:00,Dagangnews.Com,"Higher minimum wage worsens unemployment, inflation? Not necessarily.",0,[],[],2022,April,4,-0.718,0,0,-0.999998386
151,23,4/4/2022 0:00,Malaysia Gazette,"Minimum wage causes unemployment, high inflation? Not necessarily",0,[],[],2022,April,4,-0.44,0,0,-0.999998806
152,24,21/3/2022 0:00,Addin,Evidence PM Failed to Restore Economy,0,[],[],2022,March,21,-0.273,0,0,-0.998810997
153,25,21/3/2022 0:00,Malaysia Kini Bm,"The country's economy is projected to be good, the PM denies failing to restore the economy",0,[],[],2022,March,21,-0.25,0,1,0.985405897
154,26,21/3/2022 0:00,Umnoonline,"National Economy On Good Projection, PM Denies Failing To Restore Economy",0,[],[],2022,March,21,-0.25,0,0,-0.998332477
155,27,20/3/2022 0:00,Sinarharian,"The country's economy is projected to be good, the PM denies failing to restore the economy",0,[],[],2022,March,20,-0.25,0,1,0.985405897
156,28,20/3/2022 0:00,Malaysia Gazette,"The country's economy is projected to be good, the PM denies failing to restore the economy",0,[],[],2022,March,20,-0.25,0,1,0.985405897
157,29,20/3/2022 0:00,Bernama,"The country's economy is projected to be good, the PM denies failing to restore the economy",0,[],[],2022,March,20,-0.25,0,1,0.985405897
158,30,20/3/2022 0:00,Bernama,"The national economy is projected to be good, PN denies failing to restore the economy",0,[],[],2022,March,20,-0.25,0,0,-0.999981624
159,31,7/3/2022 0:00,Business Today,"Country's Poverty Rate Has Decreased Significantly, Parliament",0,[],"['Poverty', -0.5106]",2022,March,7,-0.511,0,1,0.999883852
160,32,22/2/2022 0:00,The Malaysian Reserve,Fresh graduates worst hit as minimum wage debate continues,0,"['Fresh', 0.3182]","['worst', -0.6249]",2022,February,22,-0.421,0,0,-0.999999979
161,33,21/2/2022 0:00,Theedgemalaysia,The State of the Nation: Malaysia's continuous struggle with foreign labour,0,[],"['struggle', -0.3182]",2022,February,21,-0.318,0,0,-0.999999966
162,34,21/2/2022 0:00,Newsmalaysiamsn,The State of the Nation: Malaysia's continuous struggle with foreign labour,0,[],"['struggle', -0.3182]",2022,February,21,-0.318,0,0,-0.999999966
163,35,18/2/2022 0:00,i3investor,"Malaysia's jobless rate in 4Q21 fell to lowest since Covid-19, says DOSM",0,[],"['lowest', -0.3818]",2022,February,18,-0.382,0,0,-1
164,36,18/2/2022 0:00,Theedgemalaysia,"Malaysia's jobless rate in 4Q21 fell to lowest since Covid-19, says DOSM",0,[],"['lowest', -0.3818]",2022,February,18,-0.382,0,0,-1
165,37,7/2/2022 0:00,Freemalaysiatoday,Nusantara: Boon or bane for Malaysia,0,[],[],2022,February,7,0,2,1,1
166,38,28/1/2022 0:00,The Vibes,RM6.1 bil loss for country after nationwide floods: DOSM,0,[],"['loss', -0.3182]",2022,January,28,-0.318,0,1,0.999999281
167,39,28/1/2022 0:00,i3investor,Malaysia incurs loss of RM6.1 billion following nationwide floods,0,[],"['loss', -0.3182]",2022,January,28,-0.318,0,0,-0.999990168
168,40,28/1/2022 0:00,Bernama,Malaysia incurs loss of RM6.1 bln following nationwide floods - DOSM,0,[],"['loss', -0.3182]",2022,January,28,-0.318,0,0,-0.999993843
169,41,28/1/2022 0:00,The Malaysian Insight,"Dec 2021 floods cost RM6.1 billion in losses, Statistics Dept says",0,[],"['losses', -0.4019]",2022,January,28,-0.402,0,0,-0.999965158
170,42,28/1/2022 0:00,The Malaysian Reserve,Malaysia incurs loss of RM6.1b following nationwide floods - DOSM,0,[],"['loss', -0.3182]",2022,January,28,-0.318,0,0,-0.946963731
171,43,24/1/2022 0:00,The Star,"Govt considering aid in the form of special grants for MSMEs, informal traders affected by flood",0,"['special', 0.4019, 'grants', 0.2263]","['affected', -0.1531]",2022,January,24,0.459,1,1,1
172,44,24/1/2022 0:00,Selangor Journal,"Govt considering aid in the form of special grants for micro SMEs, informal traders affected by flood",0,"['special', 0.4019, 'grants', 0.2263]","['affected', -0.1531]",2022,January,24,0.459,1,1,1
